document,label,index,form,posTag,nerLabel,head,depLabel,keywords
5,van_hoa,19,thanh_hằng,Np,B-PER,17,nmod,"[{}, {'lương_mạnh_hải': 0.07894736842105263, 'thanh_hằng': 0.07894736842105263, 'vũ_ngọc_đãng': 0.07894736842105263, 'minh_tú': 0.07894736842105263, 'cao_thiên_trang': 0.07894736842105263, 'tăng_thanh_hà': 0.07894736842105263}, {'tối': 0.02631578947368421, 'dự_án': 0.02631578947368421, 'phim': 0.02631578947368421, 'hoa_hậu': 0.02631578947368421, 'giang_hồ': 0.02631578947368421, 'đạo_diễn': 0.02631578947368421, 'ra_mắt': 0.02631578947368421, 'có': 0.02631578947368421, 'sự': 0.07894736842105263, 'tham_dự': 0.02631578947368421, 'nhiều': 0.02631578947368421, 'nghệ_sĩ': 0.02631578947368421, 'đặc_biệt': 0.02631578947368421, 'xuất_hiện': 0.02631578947368421, 'thảm_đỏ': 0.02631578947368421, 'thu_hút': 0.02631578947368421, 'quan_tâm': 0.02631578947368421, 'báo_giới': 0.02631578947368421}]"
5,van_hoa,21,vũ_ngọc_đãng,Np,B-PER,19,nmod,"[{}, {'lương_mạnh_hải': 0.07894736842105263, 'thanh_hằng': 0.07894736842105263, 'vũ_ngọc_đãng': 0.07894736842105263, 'minh_tú': 0.07894736842105263, 'cao_thiên_trang': 0.07894736842105263, 'tăng_thanh_hà': 0.07894736842105263}, {'tối': 0.02631578947368421, 'dự_án': 0.02631578947368421, 'phim': 0.02631578947368421, 'hoa_hậu': 0.02631578947368421, 'giang_hồ': 0.02631578947368421, 'đạo_diễn': 0.02631578947368421, 'ra_mắt': 0.02631578947368421, 'có': 0.02631578947368421, 'sự': 0.07894736842105263, 'tham_dự': 0.02631578947368421, 'nhiều': 0.02631578947368421, 'nghệ_sĩ': 0.02631578947368421, 'đặc_biệt': 0.02631578947368421, 'xuất_hiện': 0.02631578947368421, 'thảm_đỏ': 0.02631578947368421, 'thu_hút': 0.02631578947368421, 'quan_tâm': 0.02631578947368421, 'báo_giới': 0.02631578947368421}]"
5,van_hoa,23,minh_tú,Np,B-PER,19,nmod,"[{}, {'lương_mạnh_hải': 0.07894736842105263, 'thanh_hằng': 0.07894736842105263, 'vũ_ngọc_đãng': 0.07894736842105263, 'minh_tú': 0.07894736842105263, 'cao_thiên_trang': 0.07894736842105263, 'tăng_thanh_hà': 0.07894736842105263}, {'tối': 0.02631578947368421, 'dự_án': 0.02631578947368421, 'phim': 0.02631578947368421, 'hoa_hậu': 0.02631578947368421, 'giang_hồ': 0.02631578947368421, 'đạo_diễn': 0.02631578947368421, 'ra_mắt': 0.02631578947368421, 'có': 0.02631578947368421, 'sự': 0.07894736842105263, 'tham_dự': 0.02631578947368421, 'nhiều': 0.02631578947368421, 'nghệ_sĩ': 0.02631578947368421, 'đặc_biệt': 0.02631578947368421, 'xuất_hiện': 0.02631578947368421, 'thảm_đỏ': 0.02631578947368421, 'thu_hút': 0.02631578947368421, 'quan_tâm': 0.02631578947368421, 'báo_giới': 0.02631578947368421}]"
5,van_hoa,25,cao_thiên_trang,Np,B-PER,19,nmod,"[{}, {'lương_mạnh_hải': 0.07894736842105263, 'thanh_hằng': 0.07894736842105263, 'vũ_ngọc_đãng': 0.07894736842105263, 'minh_tú': 0.07894736842105263, 'cao_thiên_trang': 0.07894736842105263, 'tăng_thanh_hà': 0.07894736842105263}, {'tối': 0.02631578947368421, 'dự_án': 0.02631578947368421, 'phim': 0.02631578947368421, 'hoa_hậu': 0.02631578947368421, 'giang_hồ': 0.02631578947368421, 'đạo_diễn': 0.02631578947368421, 'ra_mắt': 0.02631578947368421, 'có': 0.02631578947368421, 'sự': 0.07894736842105263, 'tham_dự': 0.02631578947368421, 'nhiều': 0.02631578947368421, 'nghệ_sĩ': 0.02631578947368421, 'đặc_biệt': 0.02631578947368421, 'xuất_hiện': 0.02631578947368421, 'thảm_đỏ': 0.02631578947368421, 'thu_hút': 0.02631578947368421, 'quan_tâm': 0.02631578947368421, 'báo_giới': 0.02631578947368421}]"
5,van_hoa,6,tăng_thanh_hà,Np,B-PER,5,pob,"[{}, {'lương_mạnh_hải': 0.07894736842105263, 'thanh_hằng': 0.07894736842105263, 'vũ_ngọc_đãng': 0.07894736842105263, 'minh_tú': 0.07894736842105263, 'cao_thiên_trang': 0.07894736842105263, 'tăng_thanh_hà': 0.07894736842105263}, {'tối': 0.02631578947368421, 'dự_án': 0.02631578947368421, 'phim': 0.02631578947368421, 'hoa_hậu': 0.02631578947368421, 'giang_hồ': 0.02631578947368421, 'đạo_diễn': 0.02631578947368421, 'ra_mắt': 0.02631578947368421, 'có': 0.02631578947368421, 'sự': 0.07894736842105263, 'tham_dự': 0.02631578947368421, 'nhiều': 0.02631578947368421, 'nghệ_sĩ': 0.02631578947368421, 'đặc_biệt': 0.02631578947368421, 'xuất_hiện': 0.02631578947368421, 'thảm_đỏ': 0.02631578947368421, 'thu_hút': 0.02631578947368421, 'quan_tâm': 0.02631578947368421, 'báo_giới': 0.02631578947368421}]"
6,van_hoa,5,ngọc_trinh,Np,B-PER,8,sub,"[{}, {'ngọc_trinh': 0.16666666666666666, 'vũ_khắc_tiệp': 0.16666666666666666}, {'sai': 0.05555555555555555, 'nói': 0.05555555555555555, 'là': 0.05555555555555555, 'bộ': 0.05555555555555555, 'biết': 0.05555555555555555, 'cách': 0.05555555555555555, 'khiến': 0.05555555555555555, 'dân_tình': 0.05555555555555555, 'phải': 0.05555555555555555, 'quan_tâm': 0.05555555555555555, 'đời_sống': 0.05555555555555555, 'cá_nhân': 0.05555555555555555}]"
6,van_hoa,7,vũ_khắc_tiệp,Np,B-PER,6,conj,"[{}, {'ngọc_trinh': 0.16666666666666666, 'vũ_khắc_tiệp': 0.16666666666666666}, {'sai': 0.05555555555555555, 'nói': 0.05555555555555555, 'là': 0.05555555555555555, 'bộ': 0.05555555555555555, 'biết': 0.05555555555555555, 'cách': 0.05555555555555555, 'khiến': 0.05555555555555555, 'dân_tình': 0.05555555555555555, 'phải': 0.05555555555555555, 'quan_tâm': 0.05555555555555555, 'đời_sống': 0.05555555555555555, 'cá_nhân': 0.05555555555555555}]"
7,the_gioi,2,trump,Np,B-PER,1,nmod,"[{'nhà_trắng': 0.043478260869565216, 'mỹ': 0.08695652173913043, 'trung_quốc': 0.043478260869565216, 'reuters': 0.043478260869565216}, {'trump': 0.06521739130434782}, {'cuộc': 0.021739130434782608, 'họp': 0.021739130434782608, 'hôm': 0.021739130434782608, 'nói': 0.021739130434782608, 'chính_phủ': 0.021739130434782608, 'nhận': 0.021739130434782608, 'phần_trăm': 0.021739130434782608, 'lớn': 0.021739130434782608, 'việc': 0.021739130434782608, 'bán': 0.06521739130434782, 'mảng': 0.021739130434782608, 'kinh_doanh': 0.021739130434782608, 'tiktok': 0.021739130434782608, 'số': 0.021739130434782608, 'tiền': 0.021739130434782608, 'là': 0.021739130434782608, 'đe_doạ': 0.021739130434782608, 'khiến': 0.021739130434782608, 'ứng_dụng': 0.021739130434782608, 'thuộc': 0.021739130434782608, 'sở_hữu': 0.021739130434782608, 'gã': 0.021739130434782608, 'khổng_lồ': 0.021739130434782608, 'công_nghệ': 0.021739130434782608, 'bytedance': 0.021739130434782608, 'ngưng': 0.021739130434782608, 'hoạt_động': 0.021739130434782608, 'được': 0.021739130434782608, 'hạn': 0.021739130434782608, 'cuối': 0.021739130434782608, 'ngày': 0.021739130434782608}]"
8,the_gioi,4,biden,Np,B-PER,3,nmod,"[{'bang': 0.022222222222222223, 'michigan': 0.044444444444444446, 'arizona': 0.044444444444444446, 'florida': 0.044444444444444446}, {'biden': 0.13333333333333333, 'donald_trump': 0.03333333333333333, 'trump': 0.16666666666666666}, {'cụ_thể': 0.011111111111111112, 'dẫn': 0.022222222222222223, 'tổng_thống': 0.011111111111111112, 'đương_nhiệm': 0.011111111111111112, 'được': 0.022222222222222223, 'ý_kiến': 0.011111111111111112, 'ủng_hộ': 0.022222222222222223, 'chênh_lệch': 0.011111111111111112, 'xa': 0.011111111111111112, 'so': 0.03333333333333333, 'tỉ_lệ': 0.03333333333333333, 'cử_tri': 0.03333333333333333, 'hỏi': 0.011111111111111112, 'là': 0.011111111111111112, 'khi': 0.011111111111111112, 'khảo_sát': 0.011111111111111112, 'bang': 0.011111111111111112, 'nói': 0.011111111111111112, 'trên': 0.011111111111111112, 'đồng_ý': 0.011111111111111112, 'cách': 0.03333333333333333, 'xử_lý': 0.022222222222222223, 'vấn_đề': 0.011111111111111112, 'chủng_tộc': 0.011111111111111112, 'đại_dịch': 0.011111111111111112, 'viêm': 0.011111111111111112, 'đường': 0.011111111111111112, 'hô_hấp': 0.011111111111111112, 'cấp': 0.011111111111111112, 'covid-': 0.011111111111111112, 'tin_tưởng': 0.011111111111111112, 'điều_hành': 0.011111111111111112, 'nền': 0.011111111111111112, 'kinh_tế': 0.011111111111111112}]"
8,the_gioi,9,donald_trump,Np,B-PER,7,nmod,"[{'bang': 0.022222222222222223, 'michigan': 0.044444444444444446, 'arizona': 0.044444444444444446, 'florida': 0.044444444444444446}, {'biden': 0.13333333333333333, 'donald_trump': 0.03333333333333333, 'trump': 0.16666666666666666}, {'cụ_thể': 0.011111111111111112, 'dẫn': 0.022222222222222223, 'tổng_thống': 0.011111111111111112, 'đương_nhiệm': 0.011111111111111112, 'được': 0.022222222222222223, 'ý_kiến': 0.011111111111111112, 'ủng_hộ': 0.022222222222222223, 'chênh_lệch': 0.011111111111111112, 'xa': 0.011111111111111112, 'so': 0.03333333333333333, 'tỉ_lệ': 0.03333333333333333, 'cử_tri': 0.03333333333333333, 'hỏi': 0.011111111111111112, 'là': 0.011111111111111112, 'khi': 0.011111111111111112, 'khảo_sát': 0.011111111111111112, 'bang': 0.011111111111111112, 'nói': 0.011111111111111112, 'trên': 0.011111111111111112, 'đồng_ý': 0.011111111111111112, 'cách': 0.03333333333333333, 'xử_lý': 0.022222222222222223, 'vấn_đề': 0.011111111111111112, 'chủng_tộc': 0.011111111111111112, 'đại_dịch': 0.011111111111111112, 'viêm': 0.011111111111111112, 'đường': 0.011111111111111112, 'hô_hấp': 0.011111111111111112, 'cấp': 0.011111111111111112, 'covid-': 0.011111111111111112, 'tin_tưởng': 0.011111111111111112, 'điều_hành': 0.011111111111111112, 'nền': 0.011111111111111112, 'kinh_tế': 0.011111111111111112}]"
8,the_gioi,20,trump,Np,B-PER,19,nmod,"[{'bang': 0.022222222222222223, 'michigan': 0.044444444444444446, 'arizona': 0.044444444444444446, 'florida': 0.044444444444444446}, {'biden': 0.13333333333333333, 'donald_trump': 0.03333333333333333, 'trump': 0.16666666666666666}, {'cụ_thể': 0.011111111111111112, 'dẫn': 0.022222222222222223, 'tổng_thống': 0.011111111111111112, 'đương_nhiệm': 0.011111111111111112, 'được': 0.022222222222222223, 'ý_kiến': 0.011111111111111112, 'ủng_hộ': 0.022222222222222223, 'chênh_lệch': 0.011111111111111112, 'xa': 0.011111111111111112, 'so': 0.03333333333333333, 'tỉ_lệ': 0.03333333333333333, 'cử_tri': 0.03333333333333333, 'hỏi': 0.011111111111111112, 'là': 0.011111111111111112, 'khi': 0.011111111111111112, 'khảo_sát': 0.011111111111111112, 'bang': 0.011111111111111112, 'nói': 0.011111111111111112, 'trên': 0.011111111111111112, 'đồng_ý': 0.011111111111111112, 'cách': 0.03333333333333333, 'xử_lý': 0.022222222222222223, 'vấn_đề': 0.011111111111111112, 'chủng_tộc': 0.011111111111111112, 'đại_dịch': 0.011111111111111112, 'viêm': 0.011111111111111112, 'đường': 0.011111111111111112, 'hô_hấp': 0.011111111111111112, 'cấp': 0.011111111111111112, 'covid-': 0.011111111111111112, 'tin_tưởng': 0.011111111111111112, 'điều_hành': 0.011111111111111112, 'nền': 0.011111111111111112, 'kinh_tế': 0.011111111111111112}]"
9,phap_luat,28,hải,Np,B-PER,29,sub,"[{'cầu': 0.006872852233676976, 'voi': 0.006872852233676976, 'long_an': 0.006872852233676976, 'tand': 0.006872852233676976, 'tối_cao': 0.006872852233676976}, {'hải': 0.041237113402061855, 'trần_hồng_phong': 0.010309278350515464, 'hồ_văn_bình': 0.030927835051546393, 'hai': 0.05154639175257732, 'vân': 0.030927835051546393, 'hồng': 0.041237113402061855, 'lê_thành_trung': 0.010309278350515464, 'bình': 0.041237113402061855, 'hồ_duy_hải': 0.010309278350515464}, {'thanh_niên': 0.024054982817869417, 'có_mặt': 0.013745704467353952, 'bưu_điện': 0.024054982817869417, 'h': 0.003436426116838488, 'đơn': 0.003436426116838488, 'trình_bày': 0.003436426116838488, 'luật_sư': 0.006872852233676976, 'bản_án': 0.006872852233676976, 'sơ_thẩm': 0.003436426116838488, 'phúc_thẩm': 0.003436426116838488, 'quyết_định': 0.010309278350515464, 'giám_đốc_thẩm': 0.006872852233676976, 'thể_hiện': 0.010309278350515464, 'khoảng': 0.006872852233676976, 'ngày': 0.006872852233676976, 'gọi': 0.003436426116838488, 'điện_thoại': 0.003436426116838488, 'tiệm': 0.006872852233676976, 'cầm_đồ': 0.006872852233676976, 'ghé': 0.003436426116838488, 'quán': 0.003436426116838488, 'cà_phê': 0.003436426116838488, 'trả': 0.003436426116838488, 'tiền': 0.006872852233676976, 'nợ': 0.003436426116838488, 'bạn': 0.003436426116838488, 'chạy': 0.003436426116838488, 'ra_tay': 0.003436426116838488, 'giết': 0.006872852233676976, 'chết': 0.003436426116838488, 'nạn_nhân': 0.006872852233676976, 'có': 0.020618556701030927, 'nhiều': 0.006872852233676976, 'nhân_chứng': 0.003436426116838488, 'nhìn': 0.01718213058419244, 'thấy': 0.013745704467353952, 'nam': 0.003436426116838488, 'thời_gian': 0.006872852233676976, 'lời': 0.01718213058419244, 'khai': 0.01718213058419244, 'thừa_nhận': 0.003436426116838488, 'việc': 0.003436426116838488, 'cho': 0.003436426116838488, 'gần': 0.003436426116838488, 'ông': 0.006872852233676976, 'tiếp_nhận': 0.003436426116838488, 'bút_lục': 0.013745704467353952, 'tin_tưởng': 0.003436426116838488, 'là': 0.003436426116838488, 'nằm': 0.003436426116838488, 'hồ_sơ': 0.006872852233676976, 'được': 0.003436426116838488, 'rút': 0.003436426116838488, 'ra': 0.003436426116838488, 'án': 0.003436426116838488, 'đóng_dấu': 0.003436426116838488, 'vks': 0.003436426116838488, 'số': 0.003436426116838488, 'theo': 0.003436426116838488, 'lấy': 0.013745704467353952, 'sau': 0.006872852233676976, 'khi': 0.006872852233676976, 'vụ': 0.003436426116838488, 'án_mạng': 0.003436426116838488, 'xảy': 0.003436426116838488, 'chiều': 0.003436426116838488, 'chủ_nhật': 0.003436426116838488, 'lúc': 0.01718213058419244, 'vào': 0.003436426116838488, 'gửi': 0.013745704467353952, 'xe_gắn_máy': 0.003436426116838488, 'đi': 0.006872852233676976, 'bộ': 0.003436426116838488, 'nhà': 0.010309278350515464, 'ngồi': 0.020618556701030927, 'quầy': 0.006872852233676976, 'tính': 0.003436426116838488, 'ghế': 0.003436426116838488, 'kêu': 0.003436426116838488, 'xe': 0.01718213058419244, 'người': 0.006872852233676976, 'phía': 0.006872852233676976, 'điều_tra_viên': 0.003436426116838488, 'hỏi': 0.003436426116838488, 'anh': 0.006872852233676976, 'xác_định': 0.010309278350515464, 'trả_lời': 0.003436426116838488, 'rõ_ràng': 0.003436426116838488, 'hôm': 0.003436426116838488, 'vàng': 0.003436426116838488, 'về': 0.013745704467353952, 'đồng_hồ': 0.003436426116838488, 'nói': 0.003436426116838488, 'hôm_nay': 0.003436426116838488, 'muộn': 0.003436426116838488, 'qua': 0.003436426116838488, 'quay': 0.006872852233676976, 'bình_thường': 0.003436426116838488, 'đứng': 0.003436426116838488, 'dựa': 0.003436426116838488, 'hồng': 0.003436426116838488, 'căn_cứ': 0.003436426116838488, 'tình_hình': 0.003436426116838488, 'thực_tế': 0.003436426116838488, 'còn': 0.003436426116838488, 'cùng': 0.006872852233676976, 'vân': 0.003436426116838488, 'bưu_cục': 0.006872852233676976, 'hđtp': 0.003436426116838488, 'nêu': 0.003436426116838488, 'hơn': 0.003436426116838488}]"
